"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
30,"unemployed","married","primary",0,1787,0,0,"cellular",19,"oct",79,1,-1,0,"unknown",0
33,"services","married","secondary",0,4789,1,1,"cellular",11,"may",220,1,339,4,"failure",0
35,"management","single","tertiary",0,1350,1,0,"cellular",16,"apr",185,1,330,1,"failure",0
30,"management","married","tertiary",0,1476,1,1,"unknown",3,"jun",199,4,-1,0,"unknown",0
59,"blue-collar","married","secondary",0,0,1,0,"unknown",5,"may",226,1,-1,0,"unknown",0
35,"management","single","tertiary",0,747,0,0,"cellular",23,"feb",141,2,176,3,"failure",0
36,"self-employed","married","tertiary",0,307,1,0,"cellular",14,"may",341,1,330,2,"other",0
39,"technician","married","secondary",0,147,1,0,"cellular",6,"may",151,2,-1,0,"unknown",0
41,"entrepreneur","married","tertiary",0,221,1,0,"unknown",14,"may",57,2,-1,0,"unknown",0
43,"services","married","primary",0,-88,1,1,"cellular",17,"apr",313,1,147,2,"failure",0
39,"services","married","secondary",0,9374,1,0,"unknown",20,"may",273,1,-1,0,"unknown",0
43,"admin.","married","secondary",0,264,1,0,"cellular",17,"apr",113,2,-1,0,"unknown",0
36,"technician","married","tertiary",0,1109,0,0,"cellular",13,"aug",328,2,-1,0,"unknown",0
20,"student","single","secondary",0,502,0,0,"cellular",30,"apr",261,1,-1,0,"unknown",1
31,"blue-collar","married","secondary",0,360,1,1,"cellular",29,"jan",89,1,241,1,"failure",0
40,"management","married","tertiary",0,194,0,1,"cellular",29,"aug",189,2,-1,0,"unknown",0
56,"technician","married","secondary",0,4073,0,0,"cellular",27,"aug",239,5,-1,0,"unknown",0
37,"admin.","single","tertiary",0,2317,1,0,"cellular",20,"apr",114,1,152,2,"failure",0
25,"blue-collar","single","primary",0,-221,1,0,"unknown",23,"may",250,1,-1,0,"unknown",0
31,"services","married","secondary",0,132,0,0,"cellular",7,"jul",148,1,152,1,"other",0
38,"management","divorced","unknown",0,0,1,0,"cellular",18,"nov",96,2,-1,0,"unknown",0
42,"management","divorced","tertiary",0,16,0,0,"cellular",19,"nov",140,3,-1,0,"unknown",0
44,"services","single","secondary",0,106,0,0,"unknown",12,"jun",109,2,-1,0,"unknown",0
44,"entrepreneur","married","secondary",0,93,0,0,"cellular",7,"jul",125,2,-1,0,"unknown",0
26,"housemaid","married","tertiary",0,543,0,0,"cellular",30,"jan",169,3,-1,0,"unknown",0
41,"management","married","tertiary",0,5883,0,0,"cellular",20,"nov",182,2,-1,0,"unknown",0
55,"blue-collar","married","primary",0,627,1,0,"unknown",5,"may",247,1,-1,0,"unknown",0
67,"retired","married","unknown",0,696,0,0,"telephone",17,"aug",119,1,105,2,"failure",0
56,"self-employed","married","secondary",0,784,0,1,"cellular",30,"jul",149,2,-1,0,"unknown",0
53,"admin.","married","secondary",0,105,0,1,"cellular",21,"aug",74,2,-1,0,"unknown",0
68,"retired","divorced","secondary",0,4189,0,0,"telephone",14,"jul",897,2,-1,0,"unknown",1
31,"technician","married","secondary",0,171,0,0,"cellular",27,"aug",81,3,-1,0,"unknown",0
59,"management","married","secondary",0,42,0,0,"cellular",21,"nov",40,1,-1,0,"unknown",0
32,"management","single","tertiary",0,2536,1,0,"cellular",26,"aug",958,6,-1,0,"unknown",1
49,"technician","married","tertiary",0,1235,0,0,"cellular",13,"aug",354,3,-1,0,"unknown",1
42,"admin.","divorced","secondary",0,1811,1,0,"unknown",14,"may",150,1,-1,0,"unknown",0
